word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
#blessed	0	0	1	1	0	1	11	0	0	14	9	7		0.5
blood	0	2	0	0	0	0	0	0	0	2	1	1		0.5
con	0	0	2	0	0	0	0	0	0	2	1	1		0.5
#giveaway	0	0	0	0	0	2	0	0	0	2	1	1		0.5
sites	0	0	2	0	0	0	0	0	0	2	1	1		0.5
chat	0	1	5	0	0	0	0	0	0	6	3	3		0.5
sorry	0	0	0	0	1	0	0	1	8	10	8	5		0.5
went	0	0	0	0	0	0	2	0	0	2	1	1		0.5
inadequate	0	2	0	0	0	0	0	0	0	2	2	1		0.5
healthy	0	0	0	0	0	0	2	0	0	2	1	1		0.5
against	0	2	0	0	0	0	0	0	0	2	0	1		0.5
#bullion	0	0	0	2	0	0	0	0	0	2	2	1		0.5
itself	0	2	0	0	0	0	0	0	0	2	2	1		0.5
who	0	0	0	0	0	0	0	2	0	2	0	1		0.5
#big	0	0	0	0	0	2	0	0	0	2	0	1		0.5
#entrepreneur	0	0	2	0	0	0	0	0	0	2	1	1		0.5
#tired	0	0	0	0	2	0	0	0	0	2	1	1		0.5
#job	0	0	0	0	0	2	0	0	0	2	1	1		0.5
drinks	0	0	0	0	0	2	0	0	0	2	1	1		0.5
az	0	0	0	0	0	2	0	0	0	2	1	1		0.5
#summer	0	0	3	1	0	0	0	0	0	4	1	2		0.5
#world	0	0	0	0	2	0	0	0	0	2	1	1		0.5
allah	0	0	2	0	0	0	0	0	0	2	1	1		0.5
glove	0	0	0	0	0	0	0	0	4	4	4	2		0.5
awards	0	0	0	0	0	0	2	0	0	2	1	1		0.5
enemy	0	3	0	0	1	0	0	0	0	4	2	2		0.5
change	0	0	0	0	0	0	2	0	0	2	1	1		0.5
propaganda	0	0	0	0	0	0	0	2	0	2	0	1		0.5
kind	0	0	0	0	0	0	2	0	0	2	1	1		0.5
total	2	0	0	0	0	0	0	0	0	2	1	1		0.5
shocked	0	0	0	0	0	2	0	0	0	2	0	1		0.5
ignorance	0	0	0	0	2	0	0	0	0	2	1	1		0.5
beyond	0	2	0	0	0	0	0	0	0	2	2	1		0.5
hospital	0	0	2	0	0	0	0	0	0	2	1	1		0.5
soul	0	0	0	0	0	0	0	0	2	2	1	1		0.5
doing	0	4	0	1	1	0	1	0	0	7	2	3		0.42857142857142855
maybe	3	0	0	0	1	0	0	0	1	5	2	2		0.4
her	1	0	0	4	0	0	0	0	0	5	3	2		0.4
#thanksgiving	0	0	0	1	0	0	4	0	0	5	3	2		0.4
sad	0	0	0	0	3	0	0	1	1	5	3	2		0.4
#happiness	0	1	6	1	0	2	0	0	0	10	7	4		0.4
but	3	0	0	0	2	0	0	0	0	5	3	2		0.4
#faith	0	3	0	1	0	0	1	0	0	5	4	2		0.4
face	0	3	0	0	1	1	0	0	0	5	1	2		0.4
free	1	0	9	2	0	0	3	2	1	18	12	7		0.3888888888888889
me	1	0	0	5	0	0	1	0	1	8	4	3		0.375
birthday	0	0	5	0	1	17	2	0	1	26	16	9		0.34615384615384615
cry	0	0	0	0	2	0	0	1	0	3	1	1		0.3333333333333333
#mom	0	0	2	0	0	1	0	0	0	3	1	1		0.3333333333333333
called	0	0	0	0	3	1	0	0	2	6	4	2		0.3333333333333333
yourself	0	2	0	0	0	0	0	1	0	3	1	1		0.3333333333333333
turn	0	2	0	0	1	0	0	0	0	3	2	1		0.3333333333333333
bathroom	0	0	0	0	0	0	0	2	1	3	0	1		0.3333333333333333
#smiles	0	0	2	1	0	0	0	0	0	3	0	1		0.3333333333333333
#heart	0	0	0	2	1	0	0	0	0	3	1	1		0.3333333333333333
#money	0	0	0	2	0	0	1	0	0	3	2	1		0.3333333333333333
la	0	0	2	0	0	1	0	0	0	3	2	1		0.3333333333333333
#ff	0	0	0	2	0	0	1	0	0	3	2	1		0.3333333333333333
november	2	0	0	0	0	1	0	0	0	3	2	1		0.3333333333333333
religious	2	1	0	0	0	0	0	0	0	3	0	1		0.3333333333333333
bill	0	2	0	0	0	1	0	0	0	3	1	1		0.3333333333333333
on	3	0	0	1	1	0	0	1	0	6	2	2		0.3333333333333333
sales	2	0	0	0	0	0	0	1	0	3	1	1		0.3333333333333333
waiting	0	0	2	0	0	0	0	0	1	3	2	1		0.3333333333333333
en	0	0	2	0	0	0	0	0	1	3	2	1		0.3333333333333333
pussy	0	0	0	2	0	1	0	0	0	3	2	1		0.3333333333333333
appreciate	3	0	0	0	0	1	2	0	0	6	1	2		0.3333333333333333
any	0	2	0	0	1	0	0	0	0	3	0	1		0.3333333333333333
client	0	0	0	0	0	0	3	0	0	3	0	1		0.3333333333333333
perfect	0	0	0	0	0	0	2	1	0	3	1	1		0.3333333333333333
restaurant	2	0	0	0	0	1	0	0	0	3	2	1		0.3333333333333333
comes	0	2	0	1	0	0	0	0	0	3	1	1		0.3333333333333333
waste	0	0	0	0	2	0	0	0	1	3	2	1		0.3333333333333333
#tbt	0	0	2	1	0	0	0	0	0	3	1	1		0.3333333333333333
gonna	0	0	2	0	1	0	0	0	0	3	1	1		0.3333333333333333
sister	0	0	0	0	0	2	0	1	0	3	1	1		0.3333333333333333
guess	2	0	1	0	0	0	0	0	0	3	1	1		0.3333333333333333
thought	0	0	0	0	2	0	0	1	0	3	2	1		0.3333333333333333
ad	0	0	0	2	0	0	1	0	0	3	1	1		0.3333333333333333
babe	0	0	0	2	0	0	0	1	0	3	2	1		0.3333333333333333
another	0	0	0	0	0	1	6	1	1	9	7	3		0.3333333333333333
ya	0	0	0	0	2	1	0	0	0	3	0	1		0.3333333333333333
others	0	0	2	1	0	0	0	0	0	3	2	1		0.3333333333333333
smile	0	0	2	0	0	0	1	0	0	3	3	1		0.3333333333333333
your	0	1	0	6	0	0	0	1	1	9	2	3		0.3333333333333333
#god	0	2	0	1	0	0	0	0	0	3	2	1		0.3333333333333333
edm	3	0	0	0	0	0	0	0	0	3	2	1		0.3333333333333333
nj	0	2	0	0	1	0	0	0	0	3	2	1		0.3333333333333333
band	0	0	0	0	0	2	0	0	1	3	2	1		0.3333333333333333
#free	0	0	2	1	0	0	0	0	0	3	3	1		0.3333333333333333
#kindness	0	0	0	2	0	1	0	0	0	3	2	1		0.3333333333333333
